11186, 2024-03-08, "In Flames", 98, "A grieving student grappling with patriarchal oppression and debt in the wake of the death of her grandfather finds herself stalked by a sinister force in this powerful psychological horror.  Official Entry: Pakistan - Best International Feature - 96th Academy Awards®  The misogyny faced by women in Pakistani society is brought sharply into focus in Zarrar Kahn’s supernaturally tinged psychological horror. Medical student Mariam (Ramesha Nawal) is facing a mountain of problems after the sudden death of her grandfather leaves her and her widowed mother (Bakhtawar Mazhar) with debts. Unsure who to trust, the one bright spot is a growing friendship with fellow student Asad (Omar Javaid), but an unexpected event leads Mariam’s trauma to manifest itself in sinister ways. Khan’s tension-riven debut offers barbed commentary on the ongoing struggle for equality faced by many women while packing a genre punch.                       Urdu with English subtitles.", "Ramesha Nawal, Omar Javaid, Bakhtawar Mazhar", "Horror", "N/C 15+", "Violence, Sexual Assault, Strong Language, Strong physical violence, Strong sexual references"
11196, 2024-03-07, "Mountains", 95, "Miami’s Little Haiti neighbourhood is the vibrant backdrop for this thoughtful drama about the tensions of gentrification and between the generations for a migrant demolition worker and his family.  Migrant demolition worker Xavier (Atibon Nazaire) lives in the Little Haiti neighbourhood of Miami with his wife Esperance (Sheila Anozier) and their son Junior (Chris Renois), who was born in the US. Monica Sorelle’s naturalistic drama explores the tensions between Xavier’s aspirations to build a better life for his family and his job, which is to tear down houses as the district slowly gentrifies. Sorelle builds on strong performances from her cast to paint a vivid portrait of community and family life, as Junior’s dreams of becoming a stand-up comedian also threaten to put him in conflict with his father.  Haitian, English and Spanish with English subtitles", "Atibon Nazaire, Sheila Anozier, Chris Renois", "Drama", "N/C 15+", ""
11196, 2024-03-08, "Mountains", 95, "Miami’s Little Haiti neighbourhood is the vibrant backdrop for this thoughtful drama about the tensions of gentrification and between the generations for a migrant demolition worker and his family.  Migrant demolition worker Xavier (Atibon Nazaire) lives in the Little Haiti neighbourhood of Miami with his wife Esperance (Sheila Anozier) and their son Junior (Chris Renois), who was born in the US. Monica Sorelle’s naturalistic drama explores the tensions between Xavier’s aspirations to build a better life for his family and his job, which is to tear down houses as the district slowly gentrifies. Sorelle builds on strong performances from her cast to paint a vivid portrait of community and family life, as Junior’s dreams of becoming a stand-up comedian also threaten to put him in conflict with his father.  Haitian, English and Spanish with English subtitles", "Atibon Nazaire, Sheila Anozier, Chris Renois", "Drama", "N/C 15+", ""
11201, 2024-03-07, "Pulp Fiction - 35mm Anniversary Screening", 154, "The paths of two sharp-talking hitmen, their boss and his wife, an ageing boxer and two petty criminals cross and double-cross in Quentin Tarantino’s achingly cool tour-de-force Palme d’Or winner.  Comedy, violence and whip-smart scripting come together in Quentin Tarantino’s Palme d’Or winner. His audacious collection of stories cross and double-cross one another with stone cold style as a pair of hitmen (John Travolta and Samuel L Jackson), their boss (Ving Rhames) and his wife (Uma Thurman), a boxer (Bruce Willis) and two petty criminals (Tim Roth and Amanda Plummer) encounter each other. The tour-de-force plot offers both a literal and figurative adrenaline hit, plus there are unforgettable cameo turns from Harvey Keitel and Christopher Walken, all set to a soundtrack that’s a work of art in its own right.", "John Travolta, Uma Thurman, Samuel L Jackson", "Crime", "18", "Drug Use, Sexual Assault, Strong physical violence, Blood, Racism / discrimination / slurs"
11209, 2024-03-07, "Sometimes I Think About Dying", 91, "Daisy Ridley stars as a solitary office worker who resolutely avoids office banter in favour of a quiet life, until a friendly new employee begins to find a crack in her shell.  Daisy Ridley proves she can handle nuanced comedy drama as easily as a Star Wars leading role in this character study of an office worker whose life unexpectedly opens up. She plays Fran, who resolutely refuses to join in with workplace banter and often feels isolated. Her attitude begins to shift with the arrival of new colleague Dave (David Merheje), as his friendly demeanour begins to break the ice. Rachel Lambert’s film unfolds into a humorous and warm consideration of social anxiety and the antidote to it.", "Daisy Ridley, Dave Merheje, Parvesh Cheena", "Comedy", "N/C 15+", "Mild Bad Language, Drug Use, Mild sexual references"
11209, 2024-03-08, "Sometimes I Think About Dying", 91, "Daisy Ridley stars as a solitary office worker who resolutely avoids office banter in favour of a quiet life, until a friendly new employee begins to find a crack in her shell.  Daisy Ridley proves she can handle nuanced comedy drama as easily as a Star Wars leading role in this character study of an office worker whose life unexpectedly opens up. She plays Fran, who resolutely refuses to join in with workplace banter and often feels isolated. Her attitude begins to shift with the arrival of new colleague Dave (David Merheje), as his friendly demeanour begins to break the ice. Rachel Lambert’s film unfolds into a humorous and warm consideration of social anxiety and the antidote to it.", "Daisy Ridley, Dave Merheje, Parvesh Cheena", "Comedy", "N/C 15+", "Mild Bad Language, Drug Use, Mild sexual references"
11214, 2024-03-07, "The Beast", 146, "French auteur Bertrand Bonello presents a bold, centuries-spanning tale of romance and obsession in the shadow of an impending catastrophe freely adapted from Henry James’s The Beast In The Jungle.  Léa Seydoux and George MacKay engage in a doomed romance across three different time periods in Bertrand Bonello’s bold, centuries-spanning sci-fi tale. In the year 2044, Seydoux’s Gabrielle is attempting to 'purify' her DNA from emotions, which leads her to consider her past lives. In the process, she realises her multiple existences - including those in 1910 and 2014 - have been entwined with those of a man named Louis (MacKay), for good and ill.  Freely adapted by the French auteur from Henry James’s The Beast in The Jungle, past and future fears come together in a heady and provocative mix.           French and English with English subtitles.", "Léa Seydoux, George MacKay, Guslagie Malanda", "Drama", "N/C 15+", ""
11214, 2024-03-08, "The Beast", 146, "French auteur Bertrand Bonello presents a bold, centuries-spanning tale of romance and obsession in the shadow of an impending catastrophe freely adapted from Henry James’s The Beast In The Jungle.  Léa Seydoux and George MacKay engage in a doomed romance across three different time periods in Bertrand Bonello’s bold, centuries-spanning sci-fi tale. In the year 2044, Seydoux’s Gabrielle is attempting to 'purify' her DNA from emotions, which leads her to consider her past lives. In the process, she realises her multiple existences - including those in 1910 and 2014 - have been entwined with those of a man named Louis (MacKay), for good and ill.  Freely adapted by the French auteur from Henry James’s The Beast in The Jungle, past and future fears come together in a heady and provocative mix.           French and English with English subtitles.", "Léa Seydoux, George MacKay, Guslagie Malanda", "Drama", "N/C 15+", ""
11225, 2024-03-07, "Brick", 110, "PLEASE NOTE: this performance is free entry but tickets will only be issued from the Box Office on the day of the screening.  Knives Out director Rian Johnson is now a household name but it all began with this enjoyably labyrinthine neo-noir about a young man who investigates the disappearance of his girlfriend.  Classic film noir ideas from the likes of Dashiell Hammett and Raymond Chandler are given a Californian high school makeover in the debut film from Knives Out and The Last Jedi director Rian Johnson. Joseph Gordon-Levitt’s star was on the rise when he took on the role of Brendan, who finds himself turning detective after a phone call from a desperate dame - in this case his ex (Emilie de Ravin), who vanishes. Soon he’s investigating a labyrinthine web of lies and drugs as Johnson turns up the style without losing his grip of the substance of the mystery.", "Joseph Gordon-Levitt, Lukas Haas, Emilie de Ravin", "Crime", "15", "Violence, Drug Use"
11243, 2024-03-07, "María Candelaria + Intro from Invisible Women", 102, "This luminous melodrama was the first Latin American film to win the Palme d’Or. Dolores del Río stars in her most iconic role, as a young Indigenous woman shunned by her community due to social stigma.  This luminous classic melodrama is a defining work of Mexico's cinematic Golden Age. In perhaps her most iconic performance, del Río plays the title character, a young Indigenous woman shunned by her people as the daughter of a sex worker, whose only protection comes from the young man who loves her (Pedro Armendáriz). The floating gardens of Mexico City’s Xochimilco district serve as a stunning backdrop for an epic tragedy. María Candelaria is one of several turbulent, but successful collaborations with the formidable director Emilio ‘El Indio’ Fernández and was the first Latin American film to win the Palme d’Or at Cannes, representing a major breakthrough for the region’s cinema on the world stage.   Spanish with English subtitles.  This screening will be introduced by Invisible Women. With thanks to Televisa", "Dolores del Rio, Pedro Armendáriz, Alberto Galán", "Drama", "N/C 15+", "Thematically explores Racism Against Indigenous People"
10020, 2024-03-08, "Female Trouble", 89, "Celebrate 50 years of GFT with us with a screening of John Waters’ 1974 sleazy smash. Female Trouble follows anarchic anti-heroine Dawn (Divine) as she drops out of school, becomes pregnant, and joins the criminal underworld.  By order of Divine; ‘Goddess of Gross’, the power of GFF compels you to be fabulous, be gay and do crime! Starting off with a drag show starring some of Scotland's filthiest drag artists, join us at Barras Art and Design for a debaucherous evening of garish glamour, topped off with a screening of John Waters’ sleazy smash and magnum opus; Female Trouble. Join Dawn on a bizarre and uncensored excursion to becoming an illicit fashion icon. Cha cha heels mandatory!  Please note that tickets are limited to 4 per person per booking.  Doors will open at 19:00 for a performance start time of 19:45.  For full FAQs, please visit glasgowfilm.org/female-trouble-faqs", "Divine, David Lochary, Mary Vivian Pearce", "Comedy", "18", "Strong Language, Graphic nudity, Strong sexual references"
11141, 2024-03-08, "Kill Your Lover", 77, " A toxic relationship has rarely proved more poisonous than in this psychological chiller as a man begins to transform into a monstrous creature after his girlfriend tries to break-up with him.  Dakota (Paige Gilmour) has had enough of her toxic relationship with Axel (Shane Quigley Murphy), but the feeling isn't mutual. As she tries to end things, Axel begins turning into something different, something monstrous. He gradually succumbs to the poison of the decaying relationship, becoming a creature with increased aggression, a touch that melts skin and worst of all, he's contagious. Both an uncompromising break-up film and a wild body horror shocker, FrightFest alumnae and co-directors Alix Austin and Keir Siewert's debut feature roars with punk energy, award-winning practical special effects and soars via dynamite performances from newcomers Gilmour and Quigley Murphy.", "Paige Gilmour, Shane Quigley-Murphy, May Kelly", "Horror", "N/C 18+", "Violence, Graphic nudity, Strong sexual references"
11144, 2024-03-08, "The Deep Dark", 103, "Decades after a deadly cave-in, a veteran miner is forced to accompany a professor underground and, after a landslide, they find themselves up against an ancient mutant that craves blood.  From Mathieu Turi, director of Meander and Hostile, comes an award-winning creature feature taking you on a deep dark voyage of limitless horrific imagination. It’s 1856 and in the historic coal mines of Northern France a group of miners find themselves trapped in the subterranean depths after a cave-in. However, they soon realise they are not alone… Decades later veteran miner Roland (Samuel Le Bihan) is forced by management to accompany Professor Berthier (Jean-Hugues Anglade) underground to take samples and measurements. A sudden landslide prevents them from surfacing and they too must face the ancient mutant that constantly craves blood.  French with English subtitles", "Samuel Le Bihan, Amir El Kacem, Jean-Hugues Anglade", "Horror", "N/C 18+", "Blood, Extreme gore and violence, Monster threat, Claustrophobic situations"
11146, 2024-03-08, "The Invisible Raptor", 113, "When a genetically-engineered invisible raptor goes rogue, a washed-up paleontologist and a loner security guard try to stop the murderous predator and discover the truth behind it before it’s too late.  The Tyler Corporation has finally figured out how to genetically engineer a prehistoric raptor. They also made it invisible. After breaking out of its enclosure, it’s up to washed-up, amusement park paleontologist, Dr. Grant Walker (Mike Capes) and hapless loner Security Guard, Denny Denielson (David Shackelford) to stop the predator before he wreaks havoc on the community of Spielburgh County. With the help of local celebrity chicken farmer Henrietta McCluckskey (Sandy Martin) and Grant’s old flame Amber (Caitlin McHugh), they uncover the truth behind the mysterious predator.", "Derek Alvarado, Sean Astin, Chad Bullard", "Comedy", "N/C 18+", "Comic Violence, Body Horror, Blood"
11148, 2024-03-08, "Wake Up", 89, "Activists find their plan to vandalise a store goes south after getting trapped inside with a security guard who has a gruesome passion for hunting in this fresh take on the slasher genre.  From RKSS, the directorial collective behind Turbo Kid, Summer of 84 and We Are Zombies, comes a fresh take on the slasher genre where classic adrenaline-fueled horror and Gen Z environmental issues collide in one twisted night from hell. A group of young activists set out to make a political statement by vandalising a home superstore as it closes. But their plan goes terribly wrong when they become trapped inside and must face a deranged security guard with a gruesome passion for primitive hunting (Turlough Convery). As the night fills with violence and terror, a desperate fight for their lives begins.  Thanks to StudioCanal  The film will be accompanied by a screening of short film, Mouse.  We follow a young woman as she walks home at night through a predatory city.  Director: Ewan J Fletcher.  Starring: Rebecca Robin, Sandy Batchelor.  UK 2023. 9 min.", "Turlough Convery, Benny O. Arthur, Jacqueline Moré", "Horror", "N/C 18+", "Violence, Blood, Close up injury detail"
11154, 2024-03-08, "Gestures of Memory: R21 AKA Restoring Solidarity", 71, "Upon receiving a mystery package containing 16mm film, the filmmaker scanned it to reveal twenty lost films collected by the Japanese activists who were part of the country’s solidarity movement with Palestine. Excerpts of these archival films captured by filmmakers in various countries are collaged to form R21 AKA Restoring Solidarity, an experimental documentary demonstrating resistance across geographies and through a collective voice.   The act of safeguarding these films plus Yaqubi’s decision to disseminate them, shows the necessity of the preservation and restoration of film as contributing to memory-making in response to colonial systems.   Upon receiving a mystery package containing 16mm film, the filmmaker scanned these to reveal twenty lost films collected by the Japanese activists who were part of the country’s solidarity movement with Palestine.  Japanese, Arabic and English with English Subtitles ", null, "Documentary", "N/C 15+", ""
11165, 2024-03-08, "Bill Douglas - My Best Friend", 77, "An elegiac tribute to the hugely influential Scots filmmaker featuring contributions from the life-long friend who knew him best, Peter Jewell, as well as directors Lynne Ramsay and Lenny Abrahamson.  Director Bill Douglas has remained hugely influential despite a short career of just four films - including autobiographical trilogy My Childhood, My Ain Folk and My Way Home, about growing up in an impoverished family in the mining village of Newcraighall, near Edinburgh. Jack Archer’s elegaic and gently moving consideration of his work features contributions from the man closest to him, his best friend Peter Jewell, who talks about the life they shared for decades and Douglas’s passion for film. We Need To Talk About Kevin director Lynne Ramsay and filmmaker Lenny Abrahamson (Room) also offer insights about his enduring legacy.", "Peter Jewel, Lynne Ramsay, Lenny Abrahamson,", "Documentary", "N/C 15+", ""
11165, 2024-03-09, "Bill Douglas - My Best Friend", 77, "An elegiac tribute to the hugely influential Scots filmmaker featuring contributions from the life-long friend who knew him best, Peter Jewell, as well as directors Lynne Ramsay and Lenny Abrahamson.  Director Bill Douglas has remained hugely influential despite a short career of just four films - including autobiographical trilogy My Childhood, My Ain Folk and My Way Home, about growing up in an impoverished family in the mining village of Newcraighall, near Edinburgh. Jack Archer’s elegaic and gently moving consideration of his work features contributions from the man closest to him, his best friend Peter Jewell, who talks about the life they shared for decades and Douglas’s passion for film. We Need To Talk About Kevin director Lynne Ramsay and filmmaker Lenny Abrahamson (Room) also offer insights about his enduring legacy.", "Peter Jewel, Lynne Ramsay, Lenny Abrahamson,", "Documentary", "N/C 15+", ""
11175, 2024-03-08, "Edge of Summer", 90, "A girl makes friends with a local boy while on holiday but when he takes her down an abandoned tin mine, what they uncover there leads to trouble above ground.  Young newcomers Flora Hylton and Joel Sefton-Iongi make impressive debuts in this story of burgeoning adolescence and the secrets adults keep. When Evie (Hylton) arrives on holiday in Cornwall with her mother (Josie Walker), she's immediately troubled by the presence of family friend Tony (Stefan Rhodri), who seems worryingly close to her mum. Evie forges a friendship with local lad Adam (Sefton-Iongi), whose dad is also out of the picture for reasons that are only gradually revealed. After an unsettling encounter in an old tin mine, the pair start to question what the adults are telling them and childhood as they know it begins to unravel.                      ", "Flora Hylton, Joel Sefton-Iongi", "Drama", "N/C 15+", "Mild Bad Language, Threat, Animal Death, Mild physical violence, Mild sexual references, Suicide, Mental health issues"
11175, 2024-03-09, "Edge of Summer", 90, "A girl makes friends with a local boy while on holiday but when he takes her down an abandoned tin mine, what they uncover there leads to trouble above ground.  Young newcomers Flora Hylton and Joel Sefton-Iongi make impressive debuts in this story of burgeoning adolescence and the secrets adults keep. When Evie (Hylton) arrives on holiday in Cornwall with her mother (Josie Walker), she's immediately troubled by the presence of family friend Tony (Stefan Rhodri), who seems worryingly close to her mum. Evie forges a friendship with local lad Adam (Sefton-Iongi), whose dad is also out of the picture for reasons that are only gradually revealed. After an unsettling encounter in an old tin mine, the pair start to question what the adults are telling them and childhood as they know it begins to unravel.                      ", "Flora Hylton, Joel Sefton-Iongi", "Drama", "N/C 15+", "Mild Bad Language, Threat, Animal Death, Mild physical violence, Mild sexual references, Suicide, Mental health issues"
11198, 2024-03-08, "Opponent", 119, "A professional wrestler forced to flee Iran with his family grapples with the Swedish asylum system and his own past and desires in this intense and moving character-driven drama.  Official Entry: Sweden - Best International Feature - 96th Academy Awards®  Iman (Payman Maadi), his wife Maryam (Marall Nasiri) and their daughters, Asal (Nicole Mehrbod) and Sahar (Diana Farzami), have fled Iran for reasons that are only gradually revealed. Seeking citizenship in snowy Sweden, Iman, who was previously a professional wrestler, decides to return to the sport in hopes of boosting their chances of asylum, against the wishes of Maryam. Soon Iman — played with an increasingly vulnerable intensity by Maadi — will not only be grappling with the authorities over their right to remain but with his very sense of self as his past actions and current desires threaten his equilibrium.   Swedish and Persian (Farsi) with English subtitles.", "Payman Maadi, Amirali Abanzad, Ahmed Abdullahi", "Drama", "N/C 15+", "Suicide, Strong Language/ Swearing, Strong physical violence, Blood/ gore, Mild sexual references, Flashing lights/ strobe effects"
11198, 2024-03-09, "Opponent", 119, "A professional wrestler forced to flee Iran with his family grapples with the Swedish asylum system and his own past and desires in this intense and moving character-driven drama.  Official Entry: Sweden - Best International Feature - 96th Academy Awards®  Iman (Payman Maadi), his wife Maryam (Marall Nasiri) and their daughters, Asal (Nicole Mehrbod) and Sahar (Diana Farzami), have fled Iran for reasons that are only gradually revealed. Seeking citizenship in snowy Sweden, Iman, who was previously a professional wrestler, decides to return to the sport in hopes of boosting their chances of asylum, against the wishes of Maryam. Soon Iman — played with an increasingly vulnerable intensity by Maadi — will not only be grappling with the authorities over their right to remain but with his very sense of self as his past actions and current desires threaten his equilibrium.   Swedish and Persian (Farsi) with English subtitles.", "Payman Maadi, Amirali Abanzad, Ahmed Abdullahi", "Drama", "N/C 15+", "Suicide, Strong Language/ Swearing, Strong physical violence, Blood/ gore, Mild sexual references, Flashing lights/ strobe effects"
11204, 2024-03-08, "Riddle of Fire", 113, "After a trio of kids make a deal with their mum over a video game they embark on a fantasy journey in search of a speckled egg in this nostalgic charmer.  Alice, Hazel and Jodie (Phoebe Ferro, Charlie Stover and Skyler Peters) are three young kids who get up to a mountain of mischief. But when their plans to play a new video game are thwarted by a parental password, they strike a deal with their sick-in-bed mum that sees them embark on a forest quest for a speckled egg. Writer/director Weston Razooli channels 1970s nostalgia and the spirit of The Goonies and Moonrise Kingdom in this spirited charmer as the kids get themselves into increasingly difficult situations, including taking on a dangerous outfit known as The Enchanted Blade Gang.  ", "Lio Tipton, Charles Halford, Danielle Hoetmer", "Action", "N/C 15+", "Comic Violence, Mild Threat, Strong Language/swearing"
11204, 2024-03-09, "Riddle of Fire", 113, "After a trio of kids make a deal with their mum over a video game they embark on a fantasy journey in search of a speckled egg in this nostalgic charmer.  Alice, Hazel and Jodie (Phoebe Ferro, Charlie Stover and Skyler Peters) are three young kids who get up to a mountain of mischief. But when their plans to play a new video game are thwarted by a parental password, they strike a deal with their sick-in-bed mum that sees them embark on a forest quest for a speckled egg. Writer/director Weston Razooli channels 1970s nostalgia and the spirit of The Goonies and Moonrise Kingdom in this spirited charmer as the kids get themselves into increasingly difficult situations, including taking on a dangerous outfit known as The Enchanted Blade Gang.  ", "Lio Tipton, Charles Halford, Danielle Hoetmer", "Action", "N/C 15+", "Comic Violence, Mild Threat, Strong Language/swearing"
