"Wake Up","2024/03/08 20:45",89,"GFT 1","Activists find their plan to vandalise a store goes south after getting trapped inside with a security guard who has a gruesome passion for hunting in this fresh take on the slasher genre.

From RKSS, the directorial collective behind Turbo Kid, Summer of 84 and We Are Zombies, comes a fresh take on the slasher genre where classic adrenaline-fueled horror and Gen Z environmental issues collide in one twisted night from hell. A group of young activists set out to make a political statement by vandalising a home superstore as it closes. But their plan goes terribly wrong when they become trapped inside and must face a deranged security guard with a gruesome passion for primitive hunting (Turlough Convery). As the night fills with violence and terror, a desperate fight for their lives begins.

Thanks to StudioCanal

The film will be accompanied by a screening of short film, Mouse. 
We follow a young woman as she walks home at night through a predatory city. 
Director: Ewan J Fletcher. 
Starring: Rebecca Robin, Sandy Batchelor. 
UK 2023. 9 min.","Turlough Convery, Benny O. Arthur, Jacqueline Moré","Horror","","François Simard, Anouk Whissell, Yoann-Karl Whissell","N/C 18+","Violence, Blood, Close up injury detail","FrightFest","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/zvjtjbpjerbvvitebgxh1kpwod5i"
"Walk The Line","2024/03/10 10:30",136,"GFT 1","PLEASE NOTE: this performance is free entry but tickets will only be issued from the Box Office on the day of the screening.

Reese Witherspoon is on Oscar-winning form as June, the second wife of country star Johnny Cash (Joaquin Phoenix) in this biopic charting his rise to fame and battle with addiction.

Joaquin Phoenix and Reese Witherspoon prove that they have formidable musical capabilities as well as acting talent in this biopic charting the rise of country music star Johnny Cash. The pair sang all of the songs in James Mangold’s superior biopic themselves and even learned to play the guitar and autoharp for the roles. Witherspoon won an Oscar for her troubles, while Phoenix was also nominated. Mangold takes us from Cash’s childhood in Depression-era America up until his marriage to June Carter (Witherspoon), charting his battle with addiction along the way. A polished heart-string tugger that delivers the emotional goods.","Joaquin Phoenix, Reese Witherspoon, Ginnifer Goodwin ","Drama","Biography","James Mangold","12","Drug Use, Strong Language","Our Story So Far","https://www.youtube.com/watch?v=6-oNSs_XMxI?feature=shared","https://indy-systems.imgix.net/p2xyaj3yz3xojlxjubgo562hs0w9"
"We Have Never Been Modern","2024/03/04 20:35",117,"GFT 3","Questions of gender identity, feminism and continuing attitudes towards them are explored in this beautifully crafted and moving Czech period piece that blends marital and societal drama with a mystery.

Helena (Eliska Krenkova) and Alois (Miroslav Konig) have an idyllic life in the Czechoslovak countryside, where he runs a factory and she has the run of the place. Unfolding in 1937, in the run up to the birth of their first child, rumours are rife after the body of a dead intersex child is found. When a pair of shady counterintelligence agents arrive, Helena begins her own closet investigation. As she uncovers the truth, she is forced to confront her own assumptions. Matej Chlupacek’s energetic approach uses handheld camera and animated segments, which generate a striking immediacy as the tension mounts.

Czech with English subtitles.","Eliska Krenková, Miloslav König, Milan Ondrík","Drama","Mystery","Matej Chlupacek","N/C 15+","Medical Images, Strong Language, Mild physical violence, Blood, Mild nudity, Mild sexual references","Country Focus","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/dv6pvhn353e8xgj8bzkbhkcd1ri2"
"We Have Never Been Modern","2024/03/05 15:30",117,"GFT 3","Questions of gender identity, feminism and continuing attitudes towards them are explored in this beautifully crafted and moving Czech period piece that blends marital and societal drama with a mystery.

Helena (Eliska Krenkova) and Alois (Miroslav Konig) have an idyllic life in the Czechoslovak countryside, where he runs a factory and she has the run of the place. Unfolding in 1937, in the run up to the birth of their first child, rumours are rife after the body of a dead intersex child is found. When a pair of shady counterintelligence agents arrive, Helena begins her own closet investigation. As she uncovers the truth, she is forced to confront her own assumptions. Matej Chlupacek’s energetic approach uses handheld camera and animated segments, which generate a striking immediacy as the tension mounts.

Czech with English subtitles.","Eliska Krenková, Miloslav König, Milan Ondrík","Drama","Mystery","Matej Chlupacek","N/C 15+","Medical Images, Strong Language, Mild physical violence, Blood, Mild nudity, Mild sexual references","Country Focus","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/dv6pvhn353e8xgj8bzkbhkcd1ri2"
"Woken","2024/03/03 20:15",90,"GFT 2","Set in the near-future, this psychological sci-fi thriller stars Erin Kellyman (Solo: A Star Wars Story) as Anna, a pregnant woman who wakes up on an island with no recollection of anyone she’s living with — including her husband. 

Alan Friel’s twisty debut follows Anna as she becomes increasingly suspicious of those around her, including Helen (Maxine Peake) and James (Ivanno Jeremiah) who are supposedly helping her recuperate. As new arrivals trigger violence, she is forced to question everything she knows in a fight for both her life and that of her unborn baby.

Thanks to Bankside Films","Erin Kellyman, Maxine Peake, Ivanno Jeremiah","Sci-Fi","Thriller","Alan Friel","N/C 18+","Body Horror, Violence, Murder, Strong Language, Loss of child, Blood","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/tjdvf5rdo1oqbzu59mqvbn7ckly9"
"Woken","2024/03/04 14:00",90,"GFT 3","Set in the near-future, this psychological sci-fi thriller stars Erin Kellyman (Solo: A Star Wars Story) as Anna, a pregnant woman who wakes up on an island with no recollection of anyone she’s living with — including her husband. 

Alan Friel’s twisty debut follows Anna as she becomes increasingly suspicious of those around her, including Helen (Maxine Peake) and James (Ivanno Jeremiah) who are supposedly helping her recuperate. As new arrivals trigger violence, she is forced to question everything she knows in a fight for both her life and that of her unborn baby.

Thanks to Bankside Films","Erin Kellyman, Maxine Peake, Ivanno Jeremiah","Sci-Fi","Thriller","Alan Friel","N/C 18+","Body Horror, Violence, Murder, Strong Language, Loss of child, Blood","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/tjdvf5rdo1oqbzu59mqvbn7ckly9"
"Wuthering Heights","2024/03/02 10:30",104,"GFT 1","PLEASE NOTE: this performance is free entry but tickets will only be issued from the Box Office on the day of the screening.

Faithful retelling of Emily Brontë’s gothic romance featuring Laurence Olivier on top form as the brooding Heathcliff, whose romance for the fickle Cathy (Merle Oberon) threatens to overwhelm them both.

The wild and restless spirit and melodrama of Emily Brontë’s gothic romance is brought to the big screen in William Wyler’s celebrated version of the 19th century classic. A stranger’s visit to the gloomy mansion of Wuthering Heights prompts a telling of the doomed romance between Merle Oberon’s haughty Cathy and the darkly brooding Heathcliff (Laurence Olivier), whose passion for her threatens to overwhelm them both. Featuring strong support from David Niven and Hugh Williams, it was nominated for eight Oscars, including Best Picture and Best Actor, but Gregg Toland’s exquisite black and white cinematography netted its only statuette.

Thanks to Park Circus","Merle Oberon, Laurence Olivier, David Niven","Drama","Romance","William Wyler","U","","Our Story So Far","https://www.youtube.com/watch?v=XmuMd4FnnYo?feature=shared","https://indy-systems.imgix.net/eqg8n1wcd1x6zt3rw21wmtxr82tj"
"Yannick","2024/03/02 21:15",67,"Cineworld Screen 1","Deerskin director Quentin Dupieux is back with another speedy slice of absurdity set in a theatre where an audience member takes the place and demands to be made the playwright.

French director Quentin Dupieux has become known for his bitesized slices of absurdist comedy, including Deerskin, Mandibles and Smoking Causes Coughing. This time, the DJ-turned-filmmaker has his sights on the theatre as car park attendant Yannick (Raphaël Quenard) reaches the end of his tether on a precious night off. Fed up with a performance of The Cuckold (being acted by Pio Marmaï, Blanche Gardin and Sébastien Chassagne), he takes matters  not to mention a gun —  into his own hands. Deciding to write his own replacement play, the stage is set for satire and silliness served up in Dupieux’s inimitable pacey style.

French with English subtitles","Raphaël Quenard, Pio Marmaï, Blanche Gardin","Comedy","","Quentin Dupieux","N/C 15+","Violence, Strong Language","","https://www.youtube.com/watch?v=5OLFCHvHa2A?feature=shared","https://indy-systems.imgix.net/73g4dcwb5pha9s4ug115ochmlolb"
"Yannick","2024/03/03 15:45",67,"Cineworld Screen 1","Deerskin director Quentin Dupieux is back with another speedy slice of absurdity set in a theatre where an audience member takes the place and demands to be made the playwright.

French director Quentin Dupieux has become known for his bitesized slices of absurdist comedy, including Deerskin, Mandibles and Smoking Causes Coughing. This time, the DJ-turned-filmmaker has his sights on the theatre as car park attendant Yannick (Raphaël Quenard) reaches the end of his tether on a precious night off. Fed up with a performance of The Cuckold (being acted by Pio Marmaï, Blanche Gardin and Sébastien Chassagne), he takes matters  not to mention a gun —  into his own hands. Deciding to write his own replacement play, the stage is set for satire and silliness served up in Dupieux’s inimitable pacey style.

French with English subtitles","Raphaël Quenard, Pio Marmaï, Blanche Gardin","Comedy","","Quentin Dupieux","N/C 15+","Violence, Strong Language","","https://www.youtube.com/watch?v=5OLFCHvHa2A?feature=shared","https://indy-systems.imgix.net/73g4dcwb5pha9s4ug115ochmlolb"
"You'll Never Find Me","2024/03/07 20:50",96,"GFT 1","Claustrophobic, tense Australian thriller set over the course of one stormy night. Paranoia begins to boil after a young woman seeks shelter in the caravan of an older man.

It’s a stormy night when Patrick (Brendan Rock) hears a knock on the door of his trailer park caravan. He opens the door to find a young woman (Jordan Cowan), alone in the night, with no explanation of how she got there. He allows her take shelter, but the paranoia of both characters begins to boil and the two begin to question each other's stories and motives as the storm outside rages. Unsettling from start to finish, this is an intimate and claustrophobic thriller from Josiah Allen and Indianna Bell.

Thanks to Blue Finch films","Brendan Rock, Jordan Cowan, Elena Carapetis","Horror","","Josiah Allen, Indianna Bell","N/C 15+","Jump Scares, Violence, Blood","FrightFest","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/2brdypevfqwtqhcubq67evbect36"
